County FIPS,demand_covered,total_demand_of_county,hot_spot,county_name,state_name,priority,percentage_for_30,percentage_for_50,percentage_for_70
34003,98,782,0.083887398,Bergen,NJ,20.09103177,12.53196931,27.74936061,42.83887468
34005,18,531,0.119232332,Burlington,NJ,24.49032107,3.389830508,10.73446328,19.58568738
34007,149,785,0.154994067,Camden,NJ,94.82537006,18.98089172,31.21019108,48.15286624
34009,6,81,0.088006171,Cape May,NJ,29.90449701,7.407407407,7.407407407,22.22222222
34011,202,349,0.233402663,Cumberland,NJ,223.8798344,57.87965616,68.19484241,82.80802292
34013,196,1095,0.137050596,Essex,NJ,115.1773209,17.89954338,34.06392694,49.13242009
34015,7,244,0.08366594,Gloucester,NJ,14.01404491,2.868852459,14.3442623,34.83606557
34017,530,1638,0.243608258,Hudson,NJ,156.4939447,32.35653236,50.91575092,68.98656899
34019,0,66,0.053067033,Hunterdon,NJ,1.400969679,0,3.03030303,4.545454545
34021,150,802,0.218272868,Mercer,NJ,121.7962605,18.7032419,40.89775561,56.35910224
34023,281,1306,0.158291134,Middlesex,NJ,73.74783956,21.51607963,38.51454824,52.06738132
34025,18,532,0.085973545,Monmouth,NJ,13.79875403,3.383458647,11.09022556,20.4887218
34027,28,337,0.068517521,Morris,NJ,8.228954244,8.308605341,14.54005935,22.55192878
34029,147,641,0.105568969,Ocean,NJ,35.4078322,22.93291732,31.35725429,43.83775351
